Datetime,Temperature,ID
2022060403,49.23,120700038
2022060404,49.48,120700038
2022060405,53.28,120700038
2022060406,55.74,120700038
2022060407,59.67,120700038
2022060408,63.43,120700038
2022060409,65.43,120700038
2022060410,66.72,120700038
2022060411,67.86,120700038
2022060412,68.88,120700038
2022060413,69.04,120700038
2022060414,67.69,120700038
2022060415,67.93,120700038
2022060416,67.23,120700038
2022060417,65.59,120700038
2022060418,63.57,120700038
2022060419,61.65,120700038
2022060420,60.73,120700038
2022060421,60.64,120700038
2022060422,60.04,120700038
2022060423,59.07,120700038
2022060500,57.38,120700038
2022060501,55.49,120700038
2022060502,53.29,120700038
2022060503,51.35,120700038
2022060504,51.80,120700038
2022060505,54.59,120700038
2022060506,56.14,120700038
2022060507,59.59,120700038
2022060508,61.61,120700038
2022060509,62.98,120700038
2022060510,64.08,120700038
2022060511,65.19,120700038
2022060512,66.22,120700038
2022060513,66.85,120700038
2022060514,67.12,120700038
2022060515,67.01,120700038
2022060516,66.56,120700038
2022060517,65.59,120700038
2022060518,64.00,120700038
2022060519,60.75,120700038
2022060520,56.50,120700038
2022060521,54.82,120700038
2022060522,53.62,120700038
2022060523,52.27,120700038
2022060600,51.03,120700038
2022060601,49.98,120700038
2022060602,49.50,120700038
2022060603,49.06,120700038
2022060604,49.57,120700038
2022060605,53.82,120700038
2022060606,56.46,120700038
2022060607,60.64,120700038
2022060608,64.96,120700038
2022060609,66.70,120700038
2022060610,68.13,120700038
2022060611,69.55,120700038
2022060612,70.77,120700038
2022060613,71.60,120700038
2022060614,72.00,120700038
2022060615,72.03,120700038
2022060616,71.82,120700038
2022060617,71.08,120700038
2022060618,70.16,120700038
2022060619,67.66,120700038
2022060620,64.38,120700038
2022060621,61.92,120700038
2022060622,59.85,120700038
2022060623,58.57,120700038
2022060700,58.28,120700038
2022060701,57.97,120700038
2022060702,57.76,120700038
2022060703,57.63,120700038
2022060704,57.81,120700038
2022060705,58.55,120700038
2022060706,59.43,120700038
2022060707,60.85,120700038
2022060708,63.57,120700038
2022060709,66.63,120700038
2022060710,68.40,120700038
2022060711,70.12,120700038
2022060712,72.09,120700038
2022060713,73.58,120700038
2022060714,73.63,120700038
2022060715,73.45,120700038
2022060716,72.39,120700038
2022060717,71.20,120700038
2022060718,69.98,120700038
2022060719,66.90,120700038
2022060720,62.76,120700038
2022060721,60.98,120700038
2022060722,60.13,120700038
2022060723,59.63,120700038
2022060800,58.82,120700038
2022060801,58.01,120700038
2022060802,57.27,120700038
2022060803,56.35,120700038
2022060804,56.86,120700038
2022060805,59.22,120700038
2022060806,61.30,120700038
2022060807,64.22,120700038
2022060808,68.50,120700038
2022060809,71.49,120700038
2022060810,73.40,120700038
2022060811,74.48,120700038
2022060812,75.13,120700038
2022060813,75.70,120700038
2022060814,76.05,120700038
2022060815,75.52,120700038
2022060816,74.46,120700038
2022060817,73.69,120700038
2022060818,72.27,120700038
2022060819,69.40,120700038
2022060820,66.36,120700038
2022060821,64.94,120700038
2022060822,64.02,120700038
2022060823,63.10,120700038
2022060900,61.99,120700038
2022060901,60.80,120700038
2022060902,59.63,120700038
2022060903,58.51,120700038
2022060904,59.13,120700038
2022060905,61.39,120700038
2022060906,63.23,120700038
2022060907,66.25,120700038
2022060908,71.06,120700038
2022060909,74.71,120700038
2022060910,76.51,120700038
2022060911,77.81,120700038
2022060912,78.84,120700038
2022060913,79.66,120700038
2022060914,79.99,120700038
2022060915,79.97,120700038
2022060916,80.38,120700038
2022060917,79.56,120700038
2022060918,78.58,120700038
2022060919,76.15,120700038
2022060920,72.48,120700038
2022060921,69.78,120700038
2022060922,67.24,120700038
2022060923,65.41,120700038
2022061000,64.20,120700038
2022061001,63.30,120700038
2022061002,62.53,120700038
2022061003,61.59,120700038
2022061004,61.72,120700038
2022061005,65.03,120700038
2022061006,67.26,120700038
2022061007,70.14,120700038
2022061008,75.49,120700038
2022061009,79.00,120700038
2022061010,80.69,120700038
2022061011,81.70,120700038
2022061012,82.35,120700038
2022061013,82.54,120700038
2022061014,82.98,120700038
2022061015,83.10,120700038
2022061016,82.71,120700038
2022061017,81.37,120700038
2022061018,79.34,120700038
2022061019,76.32,120700038
2022061020,74.26,120700038
2022061021,72.39,120700038
2022061022,70.39,120700038
2022061023,68.20,120700038
2022061100,66.38,120700038
2022061101,65.44,120700038
2022061102,64.94,120700038
2022061103,64.33,120700038
2022061104,64.20,120700038
2022061105,65.01,120700038
2022061106,66.25,120700038
2022061107,67.60,120700038
2022061108,68.90,120700038
2022061109,69.94,120700038
2022061110,70.99,120700038
2022061111,72.00,120700038
2022061112,72.68,120700038
2022061113,72.88,120700038
2022061114,72.63,120700038
2022061115,72.01,120700038
2022061116,71.15,120700038
2022061117,70.12,120700038
2022061118,68.97,120700038
2022061119,66.65,120700038
2022061120,63.36,120700038
2022061121,62.04,120700038
2022061122,61.29,120700038
2022061123,60.46,120700038
2022061200,59.56,120700038
2022061201,58.84,120700038
2022061202,58.06,120700038
2022061203,57.31,120700038
2022061204,58.28,120700038
2022061205,60.19,120700038
2022061206,62.62,120700038
2022061207,65.19,120700038
2022061208,67.28,120700038
2022061209,68.85,120700038
2022061210,70.05,120700038
2022061211,71.01,120700038
2022061212,71.94,120700038
2022061213,72.59,120700038
2022061214,72.95,120700038
2022061215,72.97,120700038
2022061216,72.57,120700038
2022061217,71.58,120700038
2022061218,69.71,120700038
2022061219,66.76,120700038
2022061220,62.89,120700038
2022061221,61.11,120700038
2022061222,60.15,120700038
2022061223,59.34,120700038
2022061300,57.69,120700038
2022061301,55.36,120700038
2022061302,53.40,120700038
2022061303,52.14,120700038
2022061304,53.02,120700038
2022061305,55.27,120700038
2022061306,57.20,120700038
2022061307,60.04,120700038
2022061308,62.29,120700038
2022061309,64.33,120700038
2022061310,65.62,120700038
2022061311,65.57,120700038
2022061312,64.76,120700038
2022061313,65.64,120700038
2022061314,67.24,120700038
2022061315,68.29,120700038
2022061316,68.20,120700038
2022061317,67.26,120700038
2022061318,65.39,120700038
2022061319,63.27,120700038
2022061320,61.50,120700038
2022061321,61.09,120700038
2022061322,60.75,120700038
2022061323,60.53,120700038
2022061400,60.01,120700038
2022061401,59.40,120700038
2022061402,58.77,120700038
2022061403,57.87,120700038
2022061404,56.23,120700038
2022061405,54.23,120700038
2022061406,53.35,120700038
2022061407,53.33,120700038
2022061408,54.09,120700038
2022061409,56.73,120700038
2022061410,59.04,120700038
2022061411,60.33,120700038
2022061412,60.93,120700038
2022061413,60.69,120700038
2022061414,60.04,120700038
2022061415,58.71,120700038
2022061416,57.94,120700038
2022061417,56.88,120700038
2022061418,55.69,120700038
2022061419,54.19,120700038
2022061420,52.77,120700038
2022061421,51.69,120700038
2022061422,50.63,120700038
2022061423,50.13,120700038
2019121700,49.03,36935790
2019121701,49.57,36935790
2019121702,49.69,36935790
2019121703,49.53,36935790
2019121704,49.35,36935790
2019121705,49.10,36935790
2019121706,48.96,36935790
2019121707,48.88,36935790
2019121708,49.64,36935790
2019121709,51.21,36935790
2019121710,53.46,36935790
2019121711,54.99,36935790
2019121712,55.67,36935790
2019121713,55.89,36935790
2019121714,55.24,36935790
2019121715,53.49,36935790
2019121716,52.00,36935790
2019121717,51.53,36935790
2019121718,51.10,36935790
2019121719,50.58,36935790
2019121720,50.22,36935790
2019121721,49.68,36935790
2019121722,49.26,36935790
2019121723,48.31,36935790
2019121800,47.46,36935790
2019121801,46.87,36935790
2019121802,46.65,36935790
2019121803,46.74,36935790
2019121804,47.23,36935790
2019121805,46.80,36935790
2019121806,46.11,36935790
2019121807,46.11,36935790
2019121808,47.95,36935790
2019121809,50.29,36935790
2019121810,52.59,36935790
2019121811,54.57,36935790
2019121812,55.58,36935790
2019121813,55.56,36935790
2019121814,54.46,36935790
2019121815,51.17,36935790
2019121816,48.13,36935790
2019121817,47.91,36935790
2019121818,48.15,36935790
2019121819,48.11,36935790
2019121820,47.80,36935790
2019121821,47.53,36935790
2019121822,47.43,36935790
2019121823,47.48,36935790
2019121900,47.46,36935790
2019121901,47.12,36935790
2019121902,46.74,36935790
2019121903,46.38,36935790
2019121904,45.81,36935790
2019121905,45.73,36935790
2019121906,45.84,36935790
2019121907,46.36,36935790
2019121908,48.72,36935790
2019121909,51.40,36935790
2019121910,53.49,36935790
2019121911,54.81,36935790
2019121912,55.15,36935790
2019121913,54.43,36935790
2019121914,53.13,36935790
2019121915,51.84,36935790
2019121916,50.95,36935790
2019121917,50.58,36935790
2019121918,50.47,36935790
2019121919,49.91,36935790
2019121920,49.50,36935790
2019121921,49.44,36935790
2019121922,49.42,36935790
2019121923,49.30,36935790
2019122000,49.05,36935790
2019122001,49.14,36935790
2019122002,49.23,36935790
2019122003,49.48,36935790
2019122004,49.91,36935790
2019122005,50.45,36935790
2019122006,51.03,36935790
2019122007,51.24,36935790
2019122008,51.78,36935790
2019122009,52.93,36935790
2019122010,53.40,36935790
2019122011,53.06,36935790
2019122012,52.56,36935790
2019122013,51.62,36935790
2019122014,50.05,36935790
2019122015,46.38,36935790
2019122016,43.47,36935790
2019122017,41.74,36935790
2019122018,39.90,36935790
2019122019,38.37,36935790
2019122020,37.31,36935790
2019122021,36.41,36935790
2019122022,37.56,36935790
2019122023,37.74,36935790
2019122100,38.01,36935790
2019122101,37.89,36935790
